Country Name,Country Code,Indicator Name,Indicator Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cabo Verde,CPV,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.13084308,50.9865879,50.8501119,50.71860917,50.59071848,50.46965425,50.35251285,50.2366001,50.19416284,50.21752689,50.22590023,50.23206282,50.24428834,50.25463357,50.2618223,50.26444631,50.26523016,50.26705717,50.2703213,50.27512013,50.28062089,50.28312192
Costa Rica,CRI,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.69020936,49.69927971,49.70885064,49.71909598,49.7317602,49.74537271,49.75884739,49.77312707,49.78592686,49.79691987,49.80780489,49.81925416,49.83254505,49.84785226,49.86478821,49.88109355,49.89872507,49.9191666,49.94008516,49.96580297,49.99429628,50.01635594
Caribbean small states,CSS,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.3132495,50.30532724,50.32162464,50.3485534,50.3771596,50.40636056,50.43404588,50.46059913,50.48065964,50.49552354,50.51131467,50.54451945,50.59965918,50.65424683,50.70710837,50.76298186,50.72185202,50.72936156,50.8153571,50.8335094,50.84912666,50.86339211
Cuba,CUB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.90794581,49.94094676,49.96133732,49.98168256,50.00151857,50.02035957,50.03820741,50.05520161,50.07112669,50.08596557,50.10243791,50.12050881,50.13853657,50.15807026,50.18118478,50.20869491,50.23800688,50.26567381,50.29671619,50.34583079,50.38709205,50.40681323
Curacao,CUW,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,53.71829512,53.73983285,53.78162845,53.83429646,53.90073765,53.97090436,54.03817915,54.10547099,54.17681014,54.25570737,54.20987142,54.05149998,53.93066508,53.84438469,53.7902881,53.75924069,52.4285142,51.71226315,52.12903089,52.08471246,52.05819118,52.0260104
Cayman Islands,CYM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.79847371,50.74552004,50.70882834,50.67947867,50.64657409,50.60325901,50.56236919,50.50948633,50.44383622,50.32076696,50.14421386,49.98969285,49.87659296,49.80873734,49.76949643,49.74284771,49.71641699,49.67036623,49.57584942,49.51567453,49.5386138,49.58447554
Cyprus,CYP,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.60639141,49.63602739,49.66672688,49.69625731,49.72494832,49.75346247,49.78231218,49.81241685,49.8450897,49.86987877,49.88007498,49.88474405,49.88857217,49.89067448,49.89544037,49.90331173,49.90363717,49.90080043,49.90598261,49.91480387,49.91761807,49.91437446
Czechia,CZE,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.2498425,51.21174414,51.17459811,51.13623751,51.09534718,51.05615502,51.01701263,50.97641321,50.93640564,50.90827989,50.89546112,50.89191627,50.88032136,50.85449189,50.827554,50.80165279,50.77626634,50.75130938,50.74059299,50.75110237,50.73871835,50.68537854
Germany,DEU,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.36259062,51.35433338,51.34103004,51.31870756,51.28278456,51.23526569,51.17672203,51.10994422,51.04073786,50.97155512,50.90327598,50.83770635,50.78011687,50.73256168,50.6995719,50.67942542,50.66772022,50.6620611,50.65886196,50.65974768,50.6580551,50.64582372
Djibouti,DJI,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.25249357,50.24162617,50.23296223,50.22801648,50.22510263,50.22399549,50.22539716,50.22500203,50.22612079,50.22966212,50.23572326,50.24167664,50.25078684,50.26310324,50.27348839,50.28594555,50.30032217,50.31378201,50.33096181,50.35172316,50.37110262,50.38738885
Dominica,DMA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.95898157,49.89187926,49.81479861,49.7335236,49.68141747,49.64740095,49.6045477,49.55732915,49.50621773,49.4966687,49.53983277,49.51684854,49.65187182,49.79930578,49.79664645,49.86151158,49.94140322,50.05740046,50.15903882,50.23062476,50.28664916,50.32584885
Denmark,DNK,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.53287069,50.51704345,50.50698115,50.49679811,50.4846035,50.47038883,50.45505421,50.44053581,50.42538538,50.4110641,50.39611966,50.37985845,50.36405527,50.34735309,50.32873612,50.31114025,50.29514352,50.28009561,50.26674318,50.25560961,50.24860339,50.24438695
Dominican Republic,DOM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.23401107,49.25373201,49.27136377,49.289431,49.3096635,49.33335858,49.36096469,49.39225612,49.42632052,49.46176378,49.49727252,49.53200491,49.56531803,49.5967838,49.62625831,49.65433308,49.6820547,49.71081289,49.74861959,49.79054897,49.82321831,49.85055994
Algeria,DZA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.00544182,49.00730702,49.00632374,49.00453899,49.00289756,49.00378348,49.0055856,49.00863128,49.01143296,49.01375595,49.01850785,49.0242766,49.03083237,49.03737067,49.04150736,49.04454788,49.04810878,49.05347028,49.06317516,49.07587535,49.08553228,49.09240968
East Asia & Pacific (excluding high income),EAP,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.21747783,49.21066412,49.20402342,49.19716273,49.19067701,49.18510472,49.18045127,49.17738739,49.17638632,49.17583658,49.17523567,49.17615123,49.17881584,49.18320428,49.18976346,49.20010869,49.21399753,49.22888194,49.24810288,49.27231453,49.29501922,49.31487462
Early-demographic dividend,EAR,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.04938613,49.05019285,49.05185204,49.05433184,49.05899621,49.06627006,49.07655729,49.08836487,49.09860845,49.10804265,49.11758499,49.12733575,49.13555899,49.14466719,49.15807587,49.17223997,49.18531613,49.19901165,49.21717649,49.23883288,49.25824575,49.27386778
East Asia & Pacific,EAS,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.36332045,49.36171573,49.36020802,49.35815467,49.35559903,49.35311124,49.3511231,49.35049011,49.35184862,49.35200327,49.35064479,49.35060775,49.35244545,49.35614698,49.36255964,49.37292683,49.38641823,49.40058575,49.4181349,49.43986194,49.4602863,49.47923735
Europe & Central Asia (excluding high income),ECA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.43264366,51.42647174,51.41907614,51.41234522,51.40361088,51.39376059,51.37903159,51.36070973,51.33673615,51.31181455,51.28749948,51.2618458,51.23567122,51.21312536,51.19374799,51.17636831,51.16030667,51.14989573,51.14658285,51.14506951,51.13281576,51.1618835
Europe & Central Asia,ECS,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.7117921,51.71037754,51.70886255,51.70715606,51.70390149,51.69514769,51.68150995,51.66802686,51.65238738,51.63486264,51.61447677,51.59334587,51.57289764,51.55113907,51.529249,51.50942431,51.49082063,51.47629576,51.46894077,51.46616227,51.45391179,51.44979955
Ecuador,ECU,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.92725282,49.93064527,49.93417977,49.93830797,49.94346873,49.94981348,49.95726987,49.9652711,49.97291786,49.979052,49.98310824,49.98536856,49.98610101,49.98594706,49.98581169,49.98666223,49.98933336,49.99483387,50.02359768,50.06761815,50.08831732,50.09193818
"Egypt, Arab Rep.",EGY,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.34138091,49.32805335,49.32256313,49.32445032,49.33270222,49.34169825,49.3515321,49.36212022,49.37017616,49.36200935,49.35411599,49.36133704,49.36943577,49.37508109,49.38094803,49.39008572,49.40199448,49.41291867,49.41856956,49.42413925,49.43279672,49.44162882
Euro area,EMU,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.35301829,51.33773564,51.31881185,51.29809371,51.280761,51.26436073,51.24889517,51.23952859,51.23379665,51.22799133,51.21848161,51.20823452,51.19765814,51.17932433,51.15821623,51.1404932,51.12489064,51.1142091,51.10736366,51.10255276,51.09664307,51.08863252
Eritrea,ERI,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.104135,51.05084439,51.00016648,50.96845323,50.94481324,50.92099975,50.88640915,50.85473273,50.82988455,50.80852483,50.79185979,50.77462552,50.76317353,50.75520822,50.74503304,50.7331172,50.71762891,50.70163695,50.68678027,50.67165482,50.65520604,50.63828039
Spain,ESP,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.96670243,50.88500026,50.79965706,50.71049638,50.65055399,50.58827583,50.53842428,50.54859656,50.58879467,50.63481035,50.69928443,50.77487274,50.83285105,50.87078465,50.90428991,50.93945003,50.96769337,50.98182586,50.9905591,50.99342166,50.98878584,50.9836146
Estonia,EST,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,53.44472318,53.47401982,53.49744583,53.50795992,53.51044658,53.51685174,53.50277597,53.46221054,53.41714638,53.37520877,53.34093909,53.297086,53.24276583,53.17782509,53.1013902,52.99233653,52.84937844,52.71472805,52.62380364,52.57239966,52.5232606,52.47288823
Ethiopia,ETH,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.78933062,49.75909417,49.73163048,49.70823006,49.68930137,49.6757904,49.6685051,49.66630794,49.66651292,49.66603963,49.66665883,49.67055149,49.67620905,49.68331463,49.69425954,49.70436224,49.71361594,49.72385703,49.73454042,49.74901612,49.76478102,49.77698446
European Union,EUU,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.37809746,51.36592715,51.35041784,51.33304274,51.31840329,51.30467726,51.29105434,51.28150175,51.27441711,51.26723139,51.25707474,51.24695172,51.23615246,51.21841794,51.19842278,51.18125283,51.16540087,51.15356766,51.14732528,51.14509148,51.13014125,51.11530813
Fragile and conflict affected situations,FCS,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.2900879,50.27687246,50.2659458,50.25717642,50.24659943,50.23441715,50.22171633,50.20763241,50.19306682,50.17835548,50.16405132,50.15126158,50.13955171,50.12971097,50.12135961,50.11375492,50.10749717,50.10283143,50.09827741,50.09493791,50.08532318,50.08924619
Finland,FIN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.13490838,51.1045007,51.08234457,51.06423455,51.04593382,51.02264474,50.98732438,50.9562328,50.93043033,50.90218082,50.8746349,50.8448443,50.81689078,50.78587109,50.74094408,50.69629675,50.66231091,50.63405353,50.60975125,50.59555722,50.58780002,50.57633476
Fiji,FJI,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.10900339,49.08517475,49.05941428,49.0334578,49.00615231,48.97434228,48.99083449,49.0606102,49.13204054,49.20400064,49.27463534,49.34430124,49.41522129,49.48844309,49.55970953,49.62813609,49.69782241,49.76771026,49.81877878,49.85085604,49.86480469,49.86089975
France,FRA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.51265598,51.51994043,51.52933603,51.54181339,51.5536461,51.56594289,51.57739725,51.58697809,51.59627738,51.60607996,51.61359624,51.61892648,51.62498038,51.63022922,51.63446575,51.6374978,51.64009171,51.64383767,51.64988931,51.65886726,51.67472918,51.6975494
Faroe Islands,FRO,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.21737552,48.16213707,48.11102544,48.06485681,48.05538882,48.0821323,48.0923757,48.06830618,48.07064656,48.11102385,48.16291949,48.22380107,48.31115238,48.35914454,48.34343434,48.32172009,48.27004219,48.24210058,48.24000763,48.23120119,48.23507252,48.24479069
"Micronesia, Fed. Sts.",FSM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.55353954,49.53624614,49.52619394,49.52586984,49.5417086,49.55538108,49.56303356,49.57355286,49.57894933,49.57872589,49.58237859,49.58613006,49.59183299,49.60168826,49.61382761,49.62419632,49.63805678,49.65657799,49.67976736,49.70609294,49.73284048,49.75873082
Gabon,GAB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.13468029,50.07428914,50.00620982,49.92542958,49.83374752,49.73234807,49.62611986,49.51606914,49.39989071,49.27983075,49.16080699,49.05126941,48.96476863,48.91331943,48.89713672,48.91162804,48.9433452,48.97758813,49.01702149,49.06788417,49.1206333,49.16714753
United Kingdom,GBR,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.21455247,51.17829819,51.1409414,51.10392879,51.06742517,51.0307232,50.99154709,50.95448547,50.91979468,50.88525234,50.84875929,50.8111662,50.77669721,50.74220885,50.70853105,50.67808269,50.64985105,50.62485307,50.60745928,50.59739639,50.58361903,50.56514773
Georgia,GEO,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,53.56499475,53.54118211,53.46394709,53.39110902,53.32605297,53.25388394,53.17537602,53.10028014,53.02725087,52.95682873,52.89181664,52.83385759,52.82440018,52.85688753,52.88397846,52.90227737,52.91521807,52.9345544,52.9608233,52.98290571,52.99628644,53.00441329
Ghana,GHA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.32003544,50.29800491,50.27763064,50.25815276,50.23859902,50.22099415,50.20451501,50.18918059,50.17447504,50.16054947,50.15240092,50.144936,50.13763834,50.13198566,50.12736047,50.12424285,50.12080248,50.11885875,50.12083597,50.12481485,50.12791602,50.13031334
Gibraltar,GIB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.30116162,50.24557436,50.20197799,50.17321214,50.15040389,50.15002,50.13816698,50.11518868,50.10555947,50.08674805,50.04975124,50.03856715,50.07395538,50.11377614,50.11515431,50.10122078,50.08270032,50.07189842,50.05350209,50.0535676,50.05053754,50.03365149
Guinea,GIN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.95733283,50.94138861,50.94792021,50.98662883,51.0175149,51.01614294,51.0029515,50.98877663,50.9736895,50.95557325,50.9405218,50.92619645,50.90411365,50.87096179,50.82727034,50.78367906,50.73902832,50.68939803,50.64021598,50.59158702,50.54583764,50.50538342
"Gambia, The",GMB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.74847772,50.75035578,50.72133232,50.69243686,50.66277332,50.62913519,50.59196657,50.55611492,50.5200862,50.48343219,50.45162236,50.42084947,50.39143105,50.36506944,50.34088467,50.32013513,50.30033752,50.28297453,50.27057162,50.25902339,50.24615742,50.23395626
Guinea-Bissau,GNB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.21398982,51.18735715,51.15756465,51.12628496,51.09381221,51.05875475,51.02366183,50.99077001,50.95959725,50.92786465,50.89467828,50.86163888,50.82902687,50.79760459,50.7679259,50.73873859,50.71095168,50.68428288,50.66017537,50.63785927,50.61375421,50.58953656
Equatorial Guinea,GNQ,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.08362783,48.88214355,48.69372122,48.52172827,48.36915104,48.23727306,48.12512123,48.02948396,47.94723551,47.82987416,47.68078376,47.54678879,47.42812406,47.32700655,47.24185036,47.17328396,47.11991484,47.07884131,47.10983184,47.1769373,47.22539984,47.28096527
Greece,GRC,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.1929552,50.21452255,50.24618332,50.2895591,50.34219505,50.40145632,50.46655462,50.53827526,50.61043887,50.67987614,50.74868873,50.80999092,50.86175796,50.90587353,50.93820856,50.96089421,50.97935527,50.99159979,51.00006355,51.01284637,51.06007518,51.12652915
Grenada,GRD,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.61332705,49.58524922,49.57905694,49.57099062,49.56842181,49.56366077,49.55280144,49.53774426,49.52428555,49.54315251,49.59451998,49.63615375,49.67788967,49.72264246,49.77160195,49.81682255,49.8596497,49.90058994,49.93086048,49.95907231,49.99840559,50.04002124
Greenland,GRL,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,46.60125519,46.66126075,46.7168431,46.75233357,46.78495362,46.83289836,46.86627311,46.89947202,46.95036468,47.01357305,47.07023257,47.11440746,47.15564849,47.19026747,47.21010087,47.22679159,47.23498596,47.24392555,47.29232856,47.38367441,47.49052527,47.60164539
Guatemala,GTM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.32578901,50.33912721,50.35310816,50.36696629,50.38084889,50.39448459,50.40744447,50.4197193,50.43075692,50.44026499,50.44831193,50.45515489,50.46060327,50.46472722,50.46782875,50.47007541,50.47142534,50.47107686,50.47850227,50.49562191,50.51023016,50.51820067
Guam,GUM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.28243204,49.26156012,49.2427014,49.22763486,49.21572795,49.21493296,49.21900137,49.2283388,49.24896152,49.27527483,49.30585605,49.3361428,49.3664313,49.40051673,49.43390398,49.46502497,49.49785983,49.53150204,49.58547784,49.64112728,49.67515456,49.70165133
Guyana,GUY,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.04583578,50.03852414,50.07075,50.1049744,50.13799387,50.16992258,50.20115362,50.23241017,50.26486365,50.29896672,50.3336174,50.44151882,50.61595095,50.78069642,50.93987909,51.09321692,50.85510888,50.82071679,51.09156776,51.07492602,51.03619767,50.99442884
High income,HIC,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.99546027,50.9974423,50.99856922,50.9914658,50.96809321,50.93135522,50.89022695,50.85545883,50.83434067,50.81146408,50.77843812,50.74695603,50.71887967,50.68069457,50.63931339,50.61021416,50.58747299,50.57295963,50.58304814,50.60271186,50.6047,50.60303108
"Hong Kong SAR, China",HKG,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.16375063,51.40533078,51.64893049,51.89193288,52.12223955,52.3297297,52.52607657,52.72434861,52.92773663,53.11534021,53.26546918,53.40473332,53.55267952,53.70277025,53.77960273,53.78692998,53.80128864,53.81777404,53.8434024,53.878644,53.92667647,53.98985719
Honduras,HND,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.44940874,49.44316631,49.43895142,49.43508677,49.43012446,49.42543734,49.42124425,49.41819206,49.41702887,49.4184172,49.4220612,49.42779307,49.43373278,49.44012618,49.44786899,49.45608331,49.46485446,49.47403957,49.48528236,49.49865956,49.5118884,49.52360806
Heavily indebted poor countries (HIPC),HPC,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.31070633,50.29702495,50.28395784,50.27207184,50.26009763,50.2480653,50.2379001,50.23121279,50.22407043,50.21572338,50.20841948,50.20079124,50.19308113,50.18344249,50.17244833,50.16297118,50.15674465,50.15358818,50.1513203,50.15052074,50.15124467,50.15099922
Croatia,HRV,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.04554317,52.04105947,52.03035998,52.01498708,51.99422306,51.96866122,51.94143203,51.90900316,51.86788601,51.8228603,51.7770244,51.72881235,51.67552449,51.61796694,51.56234352,51.50428137,51.44477146,51.38933282,51.33713087,51.31078154,51.29365679,51.26336589
Haiti,HTI,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.34146329,50.33576574,50.32911383,50.32470725,50.32510321,50.32644696,50.32842495,50.33110881,50.3118701,50.29553022,50.30375804,50.31326727,50.32504413,50.33805681,50.35280971,50.36913832,50.38567814,50.40402536,50.42458075,50.44492853,50.46428156,50.48345967
Hungary,HUN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.47121197,52.49662435,52.51549533,52.51797161,52.51472522,52.51769415,52.51636403,52.5075238,52.49835658,52.46498001,52.42132055,52.39738408,52.37076254,52.33222534,52.29538067,52.25451865,52.19060104,52.12146263,52.07965727,52.06604965,51.98956428,51.92313808
IBRD only,IBD,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.45311231,49.44752596,49.44252178,49.43860973,49.43520384,49.43198124,49.43009583,49.42922994,49.42824435,49.4270718,49.42611614,49.42582471,49.4252746,49.42501003,49.42817668,49.4343042,49.44099791,49.44927431,49.46269873,49.48157258,49.49585636,49.51052172
IDA & IBRD total,IBT,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.53363365,49.53219126,49.5315125,49.53220969,49.53428704,49.53681362,49.54074102,49.54554666,49.54916789,49.55207473,49.55500124,49.55834134,49.56136435,49.5666949,49.57641428,49.58724096,49.59786966,49.6095581,49.62360836,49.64048454,49.65443316,49.66838009
IDA total,IDA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.81356365,49.8226246,49.83288539,49.84515659,49.86119298,49.87800986,49.89620905,49.91442525,49.927448,49.93796408,49.94819486,49.95834251,49.96788105,49.98534087,50.00930165,50.02831554,50.0442791,50.05921642,50.06810767,50.07219785,50.07739068,50.08233523
IDA blend,IDB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.33039936,49.33142236,49.3348565,49.3401047,49.34590096,49.3529517,49.36143458,49.37009495,49.38013246,49.39126428,49.40126679,49.41042812,49.41975904,49.460371,49.53057748,49.58955248,49.63362304,49.66939942,49.69534807,49.71332143,49.72403672,49.72823626
Indonesia,IDN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.69070681,49.68375421,49.67566962,49.66569939,49.66064442,49.65627847,49.64978541,49.64555196,49.64159076,49.63517337,49.62907301,49.6271043,49.62683121,49.62509761,49.62393878,49.62344941,49.6243418,49.62645884,49.63267731,49.64351776,49.654228,49.66102546
IDA only,IDX,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.05658502,50.0693351,50.08300544,50.09875042,50.1198181,50.14163015,50.16510685,50.18868654,50.20387371,50.21446618,50.22472946,50.23522492,50.24459814,50.24981114,50.24962118,50.24781809,50.2491344,50.25310295,50.25303717,50.24986678,50.25209973,50.2572712
Isle of Man,IMN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.92831323,50.84617457,50.76070516,50.6806019,50.6045271,50.51787916,50.43843067,50.38654043,50.3483323,50.34973325,50.38416846,50.41714204,50.44459807,50.4575742,50.4613541,50.4582436,50.4529991,50.45691206,50.46641125,50.47055054,50.47385795,50.48164325
India,IND,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.2538354,48.25233442,48.25233719,48.25414571,48.25785093,48.26338432,48.27015696,48.27789879,48.28639484,48.29568755,48.30552804,48.31490115,48.32272625,48.32863253,48.33373349,48.33923196,48.34568866,48.35378254,48.36693679,48.38575642,48.40570567,48.42242306
Not classified,INX,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.32822684,50.31766701,50.23747791,50.10438667,49.98750828,49.99341718,50.10771738,50.23805545,50.33405274,50.40784456,50.45903758,50.48369607,50.52454833,50.53238915,50.50992538,50.49339313,50.47451581,50.46712441,50.45980495,50.44808751,50.43925983,50.43088353
"Iran, Islamic Rep.",IRN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.35308904,49.33489883,49.27980026,49.23102728,49.19677882,49.1832166,49.18273715,49.18380976,49.18514915,49.19855032,49.22410506,49.24944679,49.2806266,49.31615632,49.34277125,49.36404412,49.38660715,49.41077722,49.4388963,49.47104772,49.50389139,49.53347809
Iraq,IRQ,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.21717294,50.20128507,50.20357553,50.2139227,50.23649218,50.2685524,50.28396679,50.27124003,50.24545916,50.21530783,50.18107634,50.1471825,50.11316456,50.07585053,50.05215652,50.03984234,50.01497634,49.98329785,49.9551519,49.92968189,49.90491306,49.8808515
Iceland,ISL,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.9673382,49.97670815,49.92013299,49.72814102,49.34653205,49.05580514,49.12799207,49.45138018,49.70329812,49.78937841,49.83098583,49.84785078,49.83152446,49.75533136,49.57622701,49.24075755,48.90861492,48.72468637,48.70387188,48.74289495,48.74349355,48.74399842
Israel,ISR,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.68393267,50.66372881,50.64295164,50.62011068,50.59618034,50.57490625,50.55674433,50.54048757,50.5132262,50.47405751,50.43487275,50.39560349,50.35697545,50.32071319,50.28325131,50.24794636,50.21884393,50.1902957,50.16549835,50.14469005,50.12234036,50.09763999
Italy,ITA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.61431381,51.59555543,51.56906175,51.55047581,51.54822694,51.55710724,51.56840204,51.57940502,51.59653441,51.60683832,51.58959494,51.55972469,51.53721087,51.50355854,51.45185288,51.38992493,51.3272189,51.29538722,51.28128585,51.26080917,51.23626902,51.20692679
Jamaica,JAM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.45196729,50.44377141,50.44151254,50.44311196,50.44433125,50.44181872,50.4342265,50.42512106,50.41845045,50.41211957,50.39892138,50.37843533,50.35752725,50.34330609,50.33965522,50.34361496,50.35220772,50.363551,50.37402019,50.38531383,50.39999972,50.41659234
Jordan,JOR,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.2707526,48.34244699,48.38953927,48.42165249,48.45633678,48.48882135,48.51948771,48.54913942,48.57748767,48.60466555,48.63038857,48.42131337,48.05245445,47.9188974,47.9575311,47.99583099,48.03401382,48.07207579,48.11127487,48.15203747,48.19259376,48.23185075
Japan,JPN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.07610932,51.10527608,51.13503672,51.1648556,51.19255485,51.2167522,51.23922691,51.26023984,51.27839194,51.29303568,51.30495962,51.31538781,51.32521711,51.33441576,51.34384492,51.35537699,51.36827068,51.38098763,51.38989806,51.39528585,51.40053352,51.40600782
Kazakhstan,KAZ,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.43969882,52.45468035,52.46874372,52.48116918,52.48906195,52.48267289,52.46385998,52.4356817,52.39678498,52.35337357,52.31339032,52.27227655,52.22641181,52.18224089,52.12958692,52.07433174,52.02556098,51.98027563,51.94719305,51.91618874,51.87596163,51.83162249
Kenya,KEN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.38978093,50.36952809,50.34987231,50.3313282,50.31575004,50.30227706,50.29036876,50.28211463,50.27952405,50.28525294,50.29576585,50.30568377,50.31832548,50.33553684,50.34927269,50.36351843,50.38409872,50.39946263,50.40817316,50.42188361,50.43717469,50.44662501
Kyrgyz Republic,KGZ,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.25221793,51.24109048,51.22599785,51.20879303,51.19386443,51.17565158,51.15569137,51.13696959,51.11543619,51.09258517,51.06870622,51.04104162,51.01245748,50.98083172,50.95180549,50.92963688,50.91077456,50.89797131,50.89270233,50.89483455,50.90173276,50.9085278
Cambodia,KHM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.77479074,50.74136808,50.70625292,50.66911218,50.63272665,50.59767225,50.56129252,50.54043801,50.53527921,50.53063751,50.52588688,50.52221437,50.51977155,50.51648699,50.5145353,50.51164229,50.50932161,50.50968839,50.505609,50.49698225,50.50331462,50.51845324
Kiribati,KIR,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.92316017,50.92787003,50.93843532,50.97286174,51.00366696,51.01178454,51.02244965,51.03871844,51.07273485,51.11539897,51.15931122,51.20950305,51.26146889,51.30283531,51.33276518,51.36089463,51.38187975,51.39285743,51.3731289,51.32920527,51.2748415,51.20847845
St. Kitts and Nevis,KNA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.30693412,50.35644289,50.41863461,50.48047084,50.55041174,50.62214187,50.69132242,50.76555429,50.8258971,50.86063765,50.89362415,50.9535872,51.03057189,51.11948106,51.20950866,51.30271006,51.39130253,51.4797116,51.57214223,51.65525354,51.71538284,51.76630719
"Korea, Rep.",KOR,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.82291247,49.87311037,49.92585478,49.97794823,50.01992847,50.05408373,50.08891575,50.12438354,50.15174633,50.13174326,50.07425024,50.01911744,49.96612507,49.91989611,49.91663611,49.94934058,49.98156236,50.01438214,50.04011018,50.05809651,50.07806884,50.10095095
Kuwait,KWT,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,41.1483742,40.99702785,40.84479965,40.95234729,41.39791293,41.89508487,42.33834918,42.73177013,43.07042709,43.10841093,42.9037875,42.7195478,42.16314191,40.15794848,39.16115892,39.19970016,38.48213593,38.34360857,38.74339402,39.04410564,39.18893816,39.29850482
